RegulationId,RegistarId,Naslov,Vazenje,Dario_StupanjeNaSnagu,Dario_DatumPrimjene,Rezultati,,
172,243,Program trgovaéçkog (majstorskog) ispita za zanimanje trgovac,"Program stupa na snagu 21. 12. 1995.<br />
",21.12.1995,,1,,
196,253,Zakon o uvoé?enju Europske zadruge - Societas Cooperativa Europaea (SCE),Zakon stupa na snagu 1. 7. 2013.,01.07.2013,,1,,
199,256,"Uredba o djelokrugu, sadrè?aju i nositelju poslova certificiranja elektroniéçkih potpisa za tijela drè?avne uprave",Uredba stupa na snagu 20. 10. 2004.,20.10.2004,,1,,
204,261,Zakon o elektroniéçkoj trgovini,Zakon stupa na snagu 8. 11. 2003.,08.11.2003,,1,,
207,269,Odluke o osnivanju ispostava Hrvatskog zavoda za zapoè≠ljavanje,Odluka stupa na snagu 25. 6. 1998.,25.06.1998,,1,,
209,280,Zakon o pribavljanju i koriè≠tenju inozemnih sredstava za poveé?anje zaposlenosti i zapoè≠ljavanja povratnika s rada iz inozemstva,Zakon stupa na snagu  6. 5. 1978.,,,0,,
213,285,"Pravilnik o uvjetima u pogledu prostora, opreme te struéçnih radnika ustanove za profesionalnu rehabilitaciju",Pravilnik stupa na snagu 12. 1. 2006.,12.01.2006,,1,,
214,286,"Pravilnik o uvjetima u pogledu prostora, opreme i struéçnih radnika radnog centra",Pravilnik stupa na snagu 12. 1. 2006.,12.01.2006,,1,,
227,304,Uredba o klasifikaciji radnih mjesta u drè?avnoj sluè?bi,Uredba stupa na snagu 2. 8. 2007.,02.08.2007,,1,,
228,305,Uredba o upué?ivanju drè?avnog sluè?benika na rad izvan drè?avne sluè?be,Uredba stupa na snagu 1. 4. 2006.,01.04.2006,,1,,
229,306,Uredba o naéçinima i uvjetima napredovanja drè?avnih sluè?benika,Uredba stupa na snagu 2. 8. 2007.,02.08.2007,,1,,
233,310,Odluka o prijamu sluè?benika i namjeè≠tenika u tijela drè?avne uprave i javne sluè?be koje se financiraju iz Drè?avnog proraéçuna,"Odluka stupa na snagu 17. 2. 2000. <br/>
Prestaje vaè?iti Odluka o zabrani prijama sluè?benika i namjeè≠tenika u tijela drè?avne uprave i javne sluè?be koje se financiraju iz drè?avnog proraéçuna (Narodne novine, br. 66/98).
",17.02.2000,,1,,
234,311,Pravilnik o jedinstvenim standardima i mjerilima za odreé?ivanje naziva i opisa radnih mjesta u drè?avnoj sluè?bi,Pravilnik stupa na snagu 20. 11. 2007.,20.11.2007,,1,,
236,313,Pravilnik o lakim povredama sluè?bene duè?nosti (sluè?benika Drè?avnog inspektorata),"Pravilnik stupa na snagu 14. 10. 2006. <br/>
Prestaje vaè?iti Pravilnik o lakim povredama sluè?bene duè?nosti (Narodne novine,  br. 144/02).
",14.10.2006,,1,,
237,314,Pravilnik o lakim povredama sluè?bene duè?nosti (sluè?benika Drè?avnog zavoda za intelektualno vlasniè≠tvo),Pravilnik stupa na snagu 28. 8. 2007.,28.08.2007,,1,,
239,316,Zakon o sluè?benicima i namjeè≠tenicima u lokalnoj i podruéçnoj (regionalnoj) samoupravi,"Zakon stupa na snagu 31. 7. 2008.  <br/>
31. 7. 2008. u odnosu na sluè?benike i namjeè≠tenike u upravnim tijelima lokalnih jedinica prestaje vaè?iti Zakon o drè?avnim sluè?benicima i namjeè≠tenicima (Narodne novine, br. 27/01), osim odredaba éçlanka 62. É?? 78. i éçlanka 108. É?? 112. istoga Zakona, koje i dalje ostaju na snazi. <br/>

",31.07.2008,,1,,
240,318,"Pravilnik o obliku, sadrè?aju i naéçinu voé?enja osobnog oéçevidnika drè?avnih sluè?benika i namjeè≠tenika",Pravilnik stupa na snagu 19. 2. 1998.,19.02.1998,,1,,
261,341,Kolektivni ugovor za radnike HP-Hrvatske poè≠te d.d. (do 31. 12. 2010.),"Ugovor stupa na snagu danom potpisivanja, a primjenjuje se od 1. 1. 2007. 
",,01.01.2007,1,,
263,343,Odluka o proè≠irenju primjene Kolektivnog ugovora za putniéçke agencije (na sve poslodavce i radnike u djelatnosti putniéçkih agencija i turoperatora u Republici Hrvatskoj),Odluka stupa na snagu 17. 8. 2002.,17.08.2002,,1,,
266,346,Kolektivni ugovor za vodno gospodarstvo (do 31. 12. 2013.),Ugovor stupa na snagu 5. 6. 2003. i ostaje na snazi 4 godine.,05.06.2003,,1,,
269,349,Kolektivni ugovor Croatia osiguranja d.d. (do 31. 5. 2010.),Kolektivni ugovor primjenjuje se od 1. 6. 2006. ,,01.06.2006,1,,
276,358,Kolektivni ugovor za djelatnosti drvne i papirne industrije (na neodreé?eno vrijeme)," Kolektivni ugovor sklapa se na neodreé?eno vrijeme, stupa na snagu danom potpisivanja, a primjenjuje se od 1. 6. 2008. ",,01.06.2008,1,,
277,360,Kolektivni ugovor za zaposlene u Narodnim novinama d.d. Zagreb (Ugovor je vaè?io do 31. 12. 2006.),Ugovor stupa na snagu i primjenjuje se 1. 1. 2006. ,,,0,,
292,386,Pravilnik o mirenju u individualnim radnim sporovima u Ministarstvu unutarnjih poslova,Pravilnik stupa na snagu 6. 3. 2008.,06.03.2008,,1,,
296,392,Uredba o nazivima radnih mjesta i koeficijentima sloè?enosti poslova u drè?avnoj sluè?bi,"Uredba stupa na snagu 25. 4. 2001.<br/>
Prestaju se primjenjivati odredbe Zakona o drè?avnim sluè?benicima i namjeè≠tenicima i o plaé?ama nositelja pravosudnih duè?nosti (Narodne novine, br. 74/94, 86/94 i 7/95) kojima su ureé?ene plaé?e sluè?benika i namjeè≠tenika.

",25.04.2001,,1,,
297,393,Uredba o poslovima s posebnim uvjetima rada u drè?avnoj sluè?bi,Uredba stupa na snagu 21. 6. 2002.,21.06.2002,,1,,
298,394,Odluka o plaé?i predsjednika i éçlanova Odbora za drè?avnu sluè?bu,Odluka stupa na snagu 18. 1. 2006.,18.01.2006,,1,,
299,396,"Uredba o mjerilima za naknadu za rad odnosno plaé?u povjerenika Vlade Republike Hrvatske (u jedinicama lokalne, odnosno podruéçne (regionalne) samouprave)","Uredba stupa na snagu 7. 3. 2002.<br/>
Prestaje vaè?iti Odluka o utvré?ivanju visine koeficijenata za izraéçun plaé?e, odnosno naknade plaé?e povjerenika Vlade Republike Hrvatske (Narodne novine, br. 39/00, 49/00 i 132/00).

",07.03.2002,,1,,
301,399,Zakon o plaé?ama u javnim sluè?bama,"Zakon stupa na snagu 30. 3. 2001.<br/>
Prestaje vaè?iti Zakon o plaé?ama sluè?benika i namjeè≠tenika u javnim sluè?bama (Narodne novine, br. 74/94).

",30.03.2001,,1,,
303,401,Zakon o plaé?ama ovlaè≠tenih drè?avnih revizora,"Zakon stupa na snagu 27. 6. 1998.<br/>
Prestaju vaè?iti odredbe: <br/>
É?? Zakona o drè?avnim sluè?benicima i namjeè≠tenicima i o plaé?ama nositelja pravosudnih duè?nosti (Narodne novine, br. 74/94, 86/94 i 7/95), <br/>
É?? Uredbe o dodacima za poslove s posebnim uvjetima rada (Narodne novine, br. 90/94), <br/>
É?? Uredbe o poloè?ajnim dodacima drè?avnih sluè?benika Drè?avnog ureda za reviziju (Narodne novine, br. 12/95) i <br/>
É?? Uredbe o poloè?ajnim dodacima ovlaè≠tenih drè?avnih revizora u Drè?avnom uredu za reviziju (Narodne novine, br. 61/96) u dijelu koji se odnosi na utvré?ivanje plaé?a.
",27.06.1998,,1,,
305,412,Uredba o izdacima za sluè?bena putovanja u inozemstvo koji se korisnicima drè?avnog proraéçuna priznaju u materijalne troè≠kove,Uredba stupa na snagu 11. 8. 1992.,11.08.1992,,1,,
306,413,Odluka o visini dnevnice za sluè?beno putovanje u inozemstvo za korisnike koji se financiraju iz sredstava Drè?avnog proraéçuna,"Odluka stupa na snagu 18. 1. 2006. <br/>
Prestaje vaè?iti Odluka o visini dnevnice za sluè?beno putovanje u inozemstvo za korisnike koji se financiraju iz sredstava drè?avnog proraéçuna (Narodne novine, br. 73/93).

 

",18.01.2006,,1,,
317,427,"Pravilnik o najmanjim zahtjevima sigurnosti i zaè≠tite zdravlja radnika te tehniéçkom nadgledanju postrojenja, opreme, instalacija i ureé?aja u prostorima ugroè?enim eksplozivnom atmosferom",Pravilnik stupa na snagu 18. 4. 2006.,18.04.2006,,1,,
318,428,Pravilnik o najmanjim zahtjevima za unapreé?enje sigurnosti i zaè≠tite zdravlja radnika zaposlenih u naftnom rudarstvu,Pravilnik stupa na snagu 26. 4. 2007.,26.04.2007,,1,,
319,429,Pravilnik o najmanjim zahtjevima za unapreé?enje sigurnosti i zaè≠tite zdravlja radnika zaposlenih u rudarstvu kod povrè≠inskih i podzemnih rudarskih radova,Pravilnik stupa na snagu 26. 4. 2007.,26.04.2007,,1,,
321,431,Pravilnik o zaè≠titi radnika od rizika zbog izlaganja azbestu,"Ovaj Pravilnik stupa na snagu 26. 4. 2007.<br/>
Danom stupanja na snagu ovog Pravilnika prestaju vrijediti odredbe Poglavlja V. Proizvodnja i obrada azbestnih proizvoda (éçlanci 115. do 126.) Pravilnika o zaè≠titi na radu pri preradi nemetalnih sirovina (Narodne novine, br. 10/86).",26.04.2007,,1,,
325,435,Pravilnik o zaè≠titi radnika od rizika zbog izloè?enosti vibracijama na radu,"Pravilnik stupa na snagu 7. 1. 2009., osim odredbi stavka treé?eg éçlanka 6. ovoga Pravilnika, koji se u sluéçaju da se radi o radnoj opremi, koja je stavljena u uporabu prije 2009. godine i koja glede na najnoviji tehniéçki napredak i/ili usvojene organizacijske mjere ne omogué?ava poè≠tivanja graniéçnih vrijednosti izloè?enosti po ovom Pravilniku, poéçinje primjenjivati od 2014. godine.",07.01.2009,,1,,
326,436,Pravilnik o zaè≠titi radnika od izloè?enosti buci na radu,"Pravilnik stupa na snagu 1. 5. 2008.<br/>
Stupanjem na snagu ovoga pravilnika prestaju se kao priznata pravila primjenjivati odredbe Pravilnika o opé?im mjerama i normativima zaè≠tite na radu od buke u radnim prostorijama (Sl.L., br. 29/71) te ne primjenjuju odredbe éçlanka 12. Pravilnika o najviè≠im dopuè≠tenima razinama buke u sredini u kojoj ljudi rade i borave (Narodne novine, br. 145/04).",01.05.2008,,1,,
434,562,Sporazum o zaè≠titi dostojanstva drè?avnih sluè?benika i namjeè≠tenika,Sporazum stupa na snagu 19. 9. 2007.,19.09.2007,,1,,
436,573,"Uredba o postupku, naéçinu polaganja i Programu drè?avnog struéçnog ispita (primjenjuje se i na lokalne sluè?benike i namjeè≠tenike)","Uredba stupa na snagu 8. 6. 2006.<br/>
Prestaju vaè?iti: <br/>
É?? Uredba o struéçnom osposobljavanju i usavrè≠avanju drè?avnih sluè?benika (Narodne novine, br. 78/03 i 57/04), odredbe éçlanaka 15. do 44. kojima je reguliran drè?avni struéçni ispit, <br/>
É?? Program opé?eg dijela drè?avnog struéçnog ispita (Narodne novine, br. 144/03 i 149/03),
É?? Pravilnik o obrascima za polaganje drè?avnog struéçnog ispita (Narodne novine, br.  18/04). <br/>
É?? Program posebnog dijela drè?avnoga struéçnog ispita iz podruéçja ravnopravnosti spolova (Narodne novine, br.  73/05), <br/>
É?? Program posebnog dijela drè?avnog struéçnog ispita iz podruéçja zaè≠tite prava i interesa djece (Narodne novine, br.  57/05), <br/>
É?? Program posebnog dijela drè?avnoga struéçnog ispita za radno mjesto drè?avnoga mjeriteljskog inspektora (Narodne novine, br. 18304 i 132/05), <br/>
É?? Program posebnog dijela drè?avnog struéçnog ispita za drè?avne sluè?benike iz upravnog podruéçja obrane Republike Hrvatske (Narodne novine, br.  27/04), <br/>
É?? Program posebnog dijela drè?avnoga struéçnog ispita za sluè?bene osobe Protuobavjeè≠tajne agencije (Narodne novine, br.  15/04), <br/>
É?? Program posebnog dijela drè?avnoga struéçnog ispita s upravnog podruéçja financija (Narodne novine, br.  200/03), <br/>
É?? Program posebnog dijela drè?avnog struéçnog ispita za zvanje gospodarskog inspektora, gospodarskog inspektora treé?e vrste zvanja, inspektora rada, elektroenergetskog inspektora, rudarskog inspektora i inspektora posuda pod tlakom (Narodne novine, br.  111/03), <br/>
É?? Program posebnog dijela drè?avnoga struéçnog ispita za drè?avne sluè?benike u tijelima drè?avne uprave ustrojenim za podruéçje zdravstva (Narodne novine, br.  106/03), <br/>
É?? Program posebnog dijela drè?avnog struéçnog ispita iz upravnog podruéçja izvrè≠avanja kaznenopravnih sankcija i mjera iz nadleè?nosti Uprave za zatvorski sustav Ministarstva pravosué?a (Narodne novine, br.  32/03), <br/>
É?? Program posebnog dijela drè?avnog struéçnog ispita iz upravnog podruéçja osiguranja pravosudnih tijela (Narodne novine, br.  32/03), <br/>
É?? Program posebnog dijela drè?avnog struéçnog ispita iz upravnih podruéçja: pomorstva, unutarnje plovidbe, cestovnog prometa i cesta, è?eljezniéçkog prometa, civilnog zrakoplovstva te poè≠te i telekomunikacija (Narodne novine, br.  118/02), <br/>
É?? Program posebnog dijela drè?avnog struéçnog ispita iz podruéçja prava i politike trè?iè≠nog natjecanja (Narodne novine, br.  92/02), <br/>
É?? Program posebnog dijela drè?avnog struéçnog ispita za sluè?benike ministarstva znanosti i tehnologije (Narodne novine, br.  49/02), <br/>
É?? Program posebnog dijela drè?avnog struéçnog ispita za sluè?benike ministarstva gospodarstva i tijela drè?avne uprave ustrojena za podruéçja gospodarstva (Narodne novine, br.  7/02), <br/>
É?? Program posebnog dijela drè?avnoga struéçnog ispita za drè?avne sluè?benike u tijelima drè?avne uprave ustrojenim za podruéçje kulture (Narodne novine, br.  57/01), <br/>
É?? Program posebnog dijela drè?avnog struéçnog ispita iz podruéçja europskih integracija (Narodne novine, br.  29/01), <br/>
É?? Program posebnog dijela drè?avnog struéçnog ispita iz podruéçja ugostiteljstva i turizma (Narodne novine, br.  17/01), <br/>
É?? Program posebnog dijela drè?avnog struéçnog ispita za drè?avne sluè?benike u tijelima drè?avne uprave ustrojenim za podruéçje obrta, malog i srednjeg poduzetniè≠tva (Narodne novine, br.  117/2000), <br/>
É?? Program posebnog dijela drè?avnog struéçnog ispita za drè?avne sluè?benike u tijelima drè?avne uprave ustrojenim za geodetske i katastarske poslove (Narodne novine, br.  26/00), <br/>
É?? Program posebnog dijela drè?avnog struéçnog ispita za drè?avne sluè?benike ministarstva povratka i useljeniè≠tva (Narodne novine, br.  42/98), <br/>
É?? Program posebnog dijela drè?avnog struéçnog ispita za sluè?benike u djelatnosti socijalne skrbi (Narodne novine, br. 26/98 i 30/99), <br/>
É?? Program posebnog dijela drè?avnog struéçnog ispita iz djelokruga zaè≠tite obitelji, materinstva i mladeè?i (Narodne novine, br.  22/98), <br/>
É?? Program posebnog dijela drè?avnog struéçnog ispita iz podruéçja meteorologije i hidrologije (Narodne novine, br.  37/97), <br/>
É?? Program posebnog dijela drè?avnog struéçnog ispita za drè?avne sluè?benike koji obavljaju poslove normizacije, mjeriteljstva, ovlaè≠é?ivanja, potvré?ivanja (certificiranja) i nadzora predmeta od plemenitih kovina (Narodne novine, br.  22/97), <br/>
É?? Program posebnog dijela drè?avnog struéçnog ispita za drè?avne sluè?benike u tijelima drè?avne uprave ustrojenim za podruéçje vodnog gospodarstva i zaposlenike É??Hrvatskih vodaÉ?ù ovlaè≠tene za izdavanje vodopravnih akata (Narodne novine, br.  1/97), <br/>
É?? Program posebnog dijela drè?avnog struéçnog ispita iz podruéçja prava prognanika i podruéçja prava povratnika (Narodne novine, br.  101/96), <br/>
É?? Program posebnog dijela drè?avnog struéçnog ispita iz podruéçja obnove i podruéçnog razvitka Republike Hrvatske (Narodne novine, br.  92/96), <br/>
É?? Program posebnog dijela drè?avnog struéçnog ispita za drè?avne sluè?benike u tijelima drè?avne uprave ustrojenim za upravno podruéçje visoke naobrazbe i znanosti (Narodne novine, br.  81/96), <br/>
É?? Program posebnog dijela drè?avnog struéçnog ispita za poslove inspektora zaè≠tite bilja (Narodne novine, br.  51/96), <br/>
É?? Program posebnog dijela drè?avnog struéçnog ispita iz djelokruga vanjskih poslova (Narodne novine, br.  32/96), <br/>
É?? Program posebnog dijela drè?avnog struéçnog ispita za zvanje veterinarskog inspektora (Narodne novine, br.  30/96), <br/>
É?? Program posebnog dijela drè?avnoga struéçnog ispita za drè?avne sluè?benike u tijelima drè?avne uprave ustrojenim za podruéçje prosvjete (predè≠kolski odgoj, osnovno i srednje è≠kolstvo), è≠porta i tehniéçke kulture (Narodne novine, br.  27/96), <br/>
É?? Program posebnog dijela drè?avnog struéçnog ispita u podruéçju unutarnjih poslova (Narodne novine, br.  19/96), <br/>
É?? Program posebnog dijela drè?avnog struéçnog ispita iz podruéçja prostornog ureé?enja, graditeljstva, stanovanja i komunalnog gospodarstva (Narodne novine, br.  98/95).

",08.06.2006,,1,,
437,574,"Pravilnik o obrascu prijave, oéçevidnika o drè?avnim struéçnim ispitima, zapisnika i svjedodè?be o poloè?enom drè?avnom struéçnom ispitu",Pravilnik stupa na snagu 26. 9. 2006.,26.09.2006,,1,,
438,575,"Uredba o oblicima, naéçinima i uvjetima izobrazbe drè?avnih sluè?benika","Uredba stupa na snagu 6. 2. 2007..<br/>
Prestaju vaè?iti odredbe éçlanka 1. do 14. i 45. do 63. Uredbe o struéçnom osposobljavanju i usavrè≠avanju drè?avnih sluè?benika (Narodne novine, br. 78/03 i 57/04).


",06.02.2007,,1,,
448,589,Pravilnik o naknadama i nagradi za rad éçlanova è´albenih vijeé?a u podruéçju prava industrijskog vlasniè≠tva,"Pravilnik stupa na snagu 15. 5. 2008.<br/>
",15.05.2008,,1,,
451,592,Zakon o zaè≠titi topografija poluvodiéçkih proizvoda,"Zakon stupa na snagu 8. 11. 2003. <br/>
Prestaje vaè?iti Zakon o zaè≠titi planova rasporeda integriranih sklopova (Narodne novine, br. 78/99. i 127/99.). ",08.11.2003,,1,,
452,593,Pravilnik o zaè≠titi topografija poluvodiéçkih proizvoda,"Pravilnik stupa na snagu 1. 6. 2004. <br/>
Prestaju vaè?iti odredbe Pravilnika o planovima rasporeda integriranih sklopova (Narodne novine, broj 146/99). <br/>",01.06.2004,,1,,
454,595,Pravilnik o industrijskom dizajnu,"Pravilnik stupa na snagu 1. 6. 2004. <br/>
Ne dovodeé?i u pitanje odredbe iz éçlanka 59. stavka 1. i 4. Zakona o industrijskom dizajnu, stupanjem na snagu ovoga Pravilnika prestaju vaè?iti odredbe Pravilnika o industrijskom obliéçju (Narodne novine, br. 146/99) i pripadajué?i obrasci koji su sastavni dio toga Pravilnika.",01.06.2004,,1,,
456,597,Pravilnik o oznakama zemljopisnoga podrijetla i oznakama izvornosti proizvoda i usluga,"Pravilnik stupa na snagu 1. 6. 2004. <br/>
Prestaje vrijediti Pravilnik o oznakama zemljopisnoga podrijetla (Narodne novine, br. 146/99).",01.06.2004,,1,,
462,607,Zakon o niè≠tavosti odreé?enih vrsta ugovora o osiguranju i ugovora o kreditu,Zakon stupa na snagu 18. 2. 1994.,18.02.1994,,1,,
466,611,Zakon o zaè≠titi poduzeé?a i drugih pravnih osoba s privremeno zaposjednutih podruéçja Republike Hrvatske,Zakon stupa na snagu 10. 2. 1995.,10.02.1995,,1,,
467,612,"Zakon o rjeè≠avanju potraè?ivanja prema poduzeé?ima i drugim pravnim osobama s podruéçja Republike Hrvatske osloboé?enih akcijama ""Bljesak"" i ""Oluja"" i podruéçja istoéçne Hrvatske koja su integrirana u postupku mirne reintegracije",Zakon stupa na snagu 30. 9. 2000.,30.09.2000,,1,,
468,618,Zakon o uvjetima odobravanja kredita i zajmova odreé?enih pravnih osoba,Zakon stupa na snagu 30. 9. 2000.,30.09.2000,,1,,
471,636,Zakon o posredovanju u prometu nekretnina,"Zakon stupa na snagu 17. 10. 2007., osim odredbe éçlanka 5. stavka 3. ovoga Zakona koja stupa na snagu na dan prijama Republike Hrvatske u Europsku uniju.",17.10.2007,,1,,
472,637,Pravilnik o Registru posrednika u prometu nekretnina,Pravilnik stupa na snagu 27. 5. 2008.,27.05.2008,,1,,
473,638,Pravilnik o Imeniku agenata posredovanja u prometu nekretnina,Pravilnik stupa na snagu 27. 5. 2008.,27.05.2008,,1,,
