RegulationId,RegistarId,Naslov,Vazenje,Matko_StupanjeNaSnagu,Dario_StupanjeNaSnagu,Matko_DatumPrimjene,Dario_DatumPrimjene
326,436,Pravilnik o zaštiti radnika od izloženosti buci na radu,"Pravilnik stupa na snagu 1. 5. 2008.<br/>
Stupanjem na snagu ovoga pravilnika prestaju se kao priznata pravila primjenjivati odredbe Pravilnika o općim mjerama i normativima zaštite na radu od buke u radnim prostorijama (Sl.L., br. 29/71) te ne primjenjuju odredbe članka 12. Pravilnika o najvišim dopuštenima razinama buke u sredini u kojoj ljudi rade i borave (Narodne novine, br. 145/04).",30.04.2008,01.05.2008,,
434,562,Sporazum o zaštiti dostojanstva državnih službenika i namještenika,Sporazum stupa na snagu 19. 9. 2007.,,19.09.2007,,
436,573,"Uredba o postupku, načinu polaganja i Programu državnog stručnog ispita (primjenjuje se i na lokalne službenike i namještenike)","Uredba stupa na snagu 8. 6. 2006.<br/>
Prestaju važiti: <br/>
– Uredba o stručnom osposobljavanju i usavršavanju državnih službenika (Narodne novine, br. 78/03 i 57/04), odredbe članaka 15. do 44. kojima je reguliran državni stručni ispit, <br/>
– Program općeg dijela državnog stručnog ispita (Narodne novine, br. 144/03 i 149/03),
– Pravilnik o obrascima za polaganje državnog stručnog ispita (Narodne novine, br.  18/04). <br/>
– Program posebnog dijela državnoga stručnog ispita iz područja ravnopravnosti spolova (Narodne novine, br.  73/05), <br/>
– Program posebnog dijela državnog stručnog ispita iz područja zaštite prava i interesa djece (Narodne novine, br.  57/05), <br/>
– Program posebnog dijela državnoga stručnog ispita za radno mjesto državnoga mjeriteljskog inspektora (Narodne novine, br. 18304 i 132/05), <br/>
– Program posebnog dijela državnog stručnog ispita za državne službenike iz upravnog područja obrane Republike Hrvatske (Narodne novine, br.  27/04), <br/>
– Program posebnog dijela državnoga stručnog ispita za službene osobe Protuobavještajne agencije (Narodne novine, br.  15/04), <br/>
– Program posebnog dijela državnoga stručnog ispita s upravnog područja financija (Narodne novine, br.  200/03), <br/>
– Program posebnog dijela državnog stručnog ispita za zvanje gospodarskog inspektora, gospodarskog inspektora treće vrste zvanja, inspektora rada, elektroenergetskog inspektora, rudarskog inspektora i inspektora posuda pod tlakom (Narodne novine, br.  111/03), <br/>
– Program posebnog dijela državnoga stručnog ispita za državne službenike u tijelima državne uprave ustrojenim za područje zdravstva (Narodne novine, br.  106/03), <br/>
– Program posebnog dijela državnog stručnog ispita iz upravnog područja izvršavanja kaznenopravnih sankcija i mjera iz nadležnosti Uprave za zatvorski sustav Ministarstva pravosuđa (Narodne novine, br.  32/03), <br/>
– Program posebnog dijela državnog stručnog ispita iz upravnog područja osiguranja pravosudnih tijela (Narodne novine, br.  32/03), <br/>
– Program posebnog dijela državnog stručnog ispita iz upravnih područja: pomorstva, unutarnje plovidbe, cestovnog prometa i cesta, željezničkog prometa, civilnog zrakoplovstva te pošte i telekomunikacija (Narodne novine, br.  118/02), <br/>
– Program posebnog dijela državnog stručnog ispita iz područja prava i politike tržišnog natjecanja (Narodne novine, br.  92/02), <br/>
– Program posebnog dijela državnog stručnog ispita za službenike ministarstva znanosti i tehnologije (Narodne novine, br.  49/02), <br/>
– Program posebnog dijela državnog stručnog ispita za službenike ministarstva gospodarstva i tijela državne uprave ustrojena za područja gospodarstva (Narodne novine, br.  7/02), <br/>
– Program posebnog dijela državnoga stručnog ispita za državne službenike u tijelima državne uprave ustrojenim za područje kulture (Narodne novine, br.  57/01), <br/>
– Program posebnog dijela državnog stručnog ispita iz područja europskih integracija (Narodne novine, br.  29/01), <br/>
– Program posebnog dijela državnog stručnog ispita iz područja ugostiteljstva i turizma (Narodne novine, br.  17/01), <br/>
– Program posebnog dijela državnog stručnog ispita za državne službenike u tijelima državne uprave ustrojenim za područje obrta, malog i srednjeg poduzetništva (Narodne novine, br.  117/2000), <br/>
– Program posebnog dijela državnog stručnog ispita za državne službenike u tijelima državne uprave ustrojenim za geodetske i katastarske poslove (Narodne novine, br.  26/00), <br/>
– Program posebnog dijela državnog stručnog ispita za državne službenike ministarstva povratka i useljeništva (Narodne novine, br.  42/98), <br/>
– Program posebnog dijela državnog stručnog ispita za službenike u djelatnosti socijalne skrbi (Narodne novine, br. 26/98 i 30/99), <br/>
– Program posebnog dijela državnog stručnog ispita iz djelokruga zaštite obitelji, materinstva i mladeži (Narodne novine, br.  22/98), <br/>
– Program posebnog dijela državnog stručnog ispita iz područja meteorologije i hidrologije (Narodne novine, br.  37/97), <br/>
– Program posebnog dijela državnog stručnog ispita za državne službenike koji obavljaju poslove normizacije, mjeriteljstva, ovlašćivanja, potvrđivanja (certificiranja) i nadzora predmeta od plemenitih kovina (Narodne novine, br.  22/97), <br/>
– Program posebnog dijela državnog stručnog ispita za državne službenike u tijelima državne uprave ustrojenim za područje vodnog gospodarstva i zaposlenike “Hrvatskih voda” ovlaštene za izdavanje vodopravnih akata (Narodne novine, br.  1/97), <br/>
– Program posebnog dijela državnog stručnog ispita iz područja prava prognanika i područja prava povratnika (Narodne novine, br.  101/96), <br/>
– Program posebnog dijela državnog stručnog ispita iz područja obnove i područnog razvitka Republike Hrvatske (Narodne novine, br.  92/96), <br/>
– Program posebnog dijela državnog stručnog ispita za državne službenike u tijelima državne uprave ustrojenim za upravno područje visoke naobrazbe i znanosti (Narodne novine, br.  81/96), <br/>
– Program posebnog dijela državnog stručnog ispita za poslove inspektora zaštite bilja (Narodne novine, br.  51/96), <br/>
– Program posebnog dijela državnog stručnog ispita iz djelokruga vanjskih poslova (Narodne novine, br.  32/96), <br/>
– Program posebnog dijela državnog stručnog ispita za zvanje veterinarskog inspektora (Narodne novine, br.  30/96), <br/>
– Program posebnog dijela državnoga stručnog ispita za državne službenike u tijelima državne uprave ustrojenim za područje prosvjete (predškolski odgoj, osnovno i srednje školstvo), športa i tehničke kulture (Narodne novine, br.  27/96), <br/>
– Program posebnog dijela državnog stručnog ispita u području unutarnjih poslova (Narodne novine, br.  19/96), <br/>
– Program posebnog dijela državnog stručnog ispita iz područja prostornog uređenja, graditeljstva, stanovanja i komunalnog gospodarstva (Narodne novine, br.  98/95).

",07.06.2006,08.06.2006,,
437,574,"Pravilnik o obrascu prijave, očevidnika o državnim stručnim ispitima, zapisnika i svjedodžbe o položenom državnom stručnom ispitu",Pravilnik stupa na snagu 26. 9. 2006.,25.09.2006,26.09.2006,,
438,575,"Uredba o oblicima, načinima i uvjetima izobrazbe državnih službenika","Uredba stupa na snagu 6. 2. 2007..<br/>
Prestaju važiti odredbe članka 1. do 14. i 45. do 63. Uredbe o stručnom osposobljavanju i usavršavanju državnih službenika (Narodne novine, br. 78/03 i 57/04).


",05.02.2007,06.02.2007,,
448,589,Pravilnik o naknadama i nagradi za rad članova Žalbenih vijeća u području prava industrijskog vlasništva,"Pravilnik stupa na snagu 15. 5. 2008.<br/>
",14.05.2008,15.05.2008,,
451,592,Zakon o zaštiti topografija poluvodičkih proizvoda,"Zakon stupa na snagu 8. 11. 2003. <br/>
Prestaje važiti Zakon o zaštiti planova rasporeda integriranih sklopova (Narodne novine, br. 78/99. i 127/99.). ",07.11.2003,08.11.2003,2004-01-01 00:00:00+00,
452,593,Pravilnik o zaštiti topografija poluvodičkih proizvoda,"Pravilnik stupa na snagu 1. 6. 2004. <br/>
Prestaju važiti odredbe Pravilnika o planovima rasporeda integriranih sklopova (Narodne novine, broj 146/99). <br/>",31.05.2004,01.06.2004,,
454,595,Pravilnik o industrijskom dizajnu,"Pravilnik stupa na snagu 1. 6. 2004. <br/>
Ne dovodeći u pitanje odredbe iz članka 59. stavka 1. i 4. Zakona o industrijskom dizajnu, stupanjem na snagu ovoga Pravilnika prestaju važiti odredbe Pravilnika o industrijskom obličju (Narodne novine, br. 146/99) i pripadajući obrasci koji su sastavni dio toga Pravilnika.",31.05.2004,01.06.2004,,
456,597,Pravilnik o oznakama zemljopisnoga podrijetla i oznakama izvornosti proizvoda i usluga,"Pravilnik stupa na snagu 1. 6. 2004. <br/>
Prestaje vrijediti Pravilnik o oznakama zemljopisnoga podrijetla (Narodne novine, br. 146/99).",31.05.2004,01.06.2004,,
462,607,Zakon o ništavosti određenih vrsta ugovora o osiguranju i ugovora o kreditu,Zakon stupa na snagu 18. 2. 1994.,17.02.1994,18.02.1994,,
466,611,Zakon o zaštiti poduzeća i drugih pravnih osoba s privremeno zaposjednutih područja Republike Hrvatske,Zakon stupa na snagu 10. 2. 1995.,09.02.1995,10.02.1995,,
467,612,"Zakon o rješavanju potraživanja prema poduzećima i drugim pravnim osobama s područja Republike Hrvatske oslobođenih akcijama ""Bljesak"" i ""Oluja"" i područja istočne Hrvatske koja su integrirana u postupku mirne reintegracije",Zakon stupa na snagu 30. 9. 2000.,,30.09.2000,,
468,618,Zakon o uvjetima odobravanja kredita i zajmova određenih pravnih osoba,Zakon stupa na snagu 30. 9. 2000.,29.09.2000,30.09.2000,,
471,636,Zakon o posredovanju u prometu nekretnina,"Zakon stupa na snagu 17. 10. 2007., osim odredbe članka 5. stavka 3. ovoga Zakona koja stupa na snagu na dan prijama Republike Hrvatske u Europsku uniju.",26.10.2007,17.10.2007,,
472,637,Pravilnik o Registru posrednika u prometu nekretnina,Pravilnik stupa na snagu 27. 5. 2008.,26.05.2008,27.05.2008,,
473,638,Pravilnik o Imeniku agenata posredovanja u prometu nekretnina,Pravilnik stupa na snagu 27. 5. 2008.,26.05.2008,27.05.2008,,
474,639,Pravilnik o Programu osposobljavanja za agenta posredovanja u prometu nekretnina,Pravilnik stupa na snagu 27. 5. 2008.,26.05.2008,27.05.2008,,
477,649,Zakon o odgovornosti za štetu nastalu uslijed terorističkih akata i javnih demonstracija, Zakon stupa na snagu 31. 7. 2003.,,31.07.2003,,
478,650,Zakon o odgovornosti Republike Hrvatske za štetu uzrokovanu od pripadnika hrvatskih oružanih i redarstvenih snaga tijekom Domovinskog rata,Zakon stupa na snagu 31. 7. 2003.,,31.07.2003,,
479,651,Zakon o odgovornosti Republike Hrvatske za štetu nastalu u bivšoj SFRJ za koju je odgovarala bivša SFRJ,Zakon stupa na snagu 31. 7. 2003.,,31.07.2003,,
480,656,Zakon o mjenici,Zakon stupa na snagu 26. 10. 1994. ,25.10.1994,26.10.1994,,
481,657,"Pravilnik o obračunskim zavodima, naknadi za posredovanje i obrascu mjenice",Pravilnik stupa na snagu 29. 7. 1999.,,29.07.1999,,
482,658,Zakon o čeku,Zakon stupa na snagu 26. 10. 1994.,25.10.1994,26.10.1994,,
484,661,Posebne uzance u trgovini na malo,Uzance se primjenjuju od 8. 4. 1995.,,,,08.04.1995
498,676,Odluka o prodaji poslovnih prostora u vlasništvu Republike Hrvatske u zgradama namijenjenim stambenom zbrinjavanju hrvatskih branitelja iz Domovinskog rata i članova njihovih obitelji,Odluka stupa na snagu 28. 3. 2006. ,,28.03.2006,,
499,677,Odluka o davanju ovlasti Ministarstvu zdravstva za prijenos u vlasništvo nekretnina izgrađenih sredstvima državnog proračuna Republike Hrvatske," Odluka stupa na snagu 20. 7. 2000.
",,20.07.2000,,
500,678,Uredba o Agenciji za pravni promet i posredovanje nekretninama (APN),Uredba stupa na snagu 24. 4. 1997.,,24.04.1997,,
506,686,"Odluka o davanju ovlaštenja Ministarstvu poljoprivrede, šumarstva i vodnoga gospodarstva za donošenje odluka o izdvajanju šuma i/ili šumskog zemljišta u vlasništvu Republike Hrvatske iz šumsko-gospodarskog područja Republike Hrvatske",Odluka stupa na snagu 2. 6. 2006.,,02.06.2006,,
508,689,"Odluka o izdavanju Globalne obveznice Republike Hrvatske za naknadu imovine oduzete za vrijeme jugoslavenske komunističke vladavine (61.355.025,74 EUR)",Odluka stupa na snagu 10. 12. 1999. ,10.12.1999,10.12.1999,,
